,discarded,sigmoid,continuous
404,ARHGAP21,NRAS,
405,HTR1F,AKAP13,
406,SLITRK1,ZBTB18,
407,POM121C,SCN9A,
408,ARID2,COL5A2,
409,FRY,ABHD13,
410,DNAH9,DOCK8,
411,RNF213,SOCS5,
412,NCOR2,MRVI1,
413,,EIF5AL1,
414,,LRRK1,
415,,KIF20B,
416,,PKD1,
417,,ZNF462,
418,,ADGRV1,
419,,CACNA1S,
420,,FRMPD3,
421,,CFAP43,
422,,MYT1,
423,,TEX14,
424,,NRK,
425,,DNAH17,
426,,TG,
427,,CACNA1A,
428,,FREM1,
429,,ZNF644,
430,,JMJD1C,
431,,FAM133A,
432,,MAP3K1,
433,,CDH18,
434,,EIF3A,
435,,AASS,
436,,FBXL7,
437,,C9orf47,
438,,DOPEY2,
439,,DFNB31,
440,,TRIP12,
441,,MYH8,
442,,SETBP1,
443,,PCDHA6,
444,,TRPC7,
445,,WSCD2,
446,,SYNPO2,
447,,PEG3,
448,,FRAS1,
449,,HSPG2,
450,,SDK1,
451,,IRX1,
452,,AKAP6,
453,,ARFGEF2,
454,,ABCC1,
455,,HEATR5B,
456,,SALL1,
457,,CTNNB1,
458,,ZEB2,
459,,BNC2,
460,,NBEA,
461,,EPHA6,
462,,GPR158,
463,,WDR33,
464,,DCAF4L1,
465,,ITIH6,
466,,TMEM132E,
467,,CASZ1,
468,,GRM3,
469,,JAKMIP2,
470,,SHANK1,
471,,FN1,
472,,POLR1A,
473,,FAM179A,
474,,UBQLN2,
475,,EPG5,
476,,FAM46C,
477,,FRYL,
478,,HUWE1,
479,,ZNF107,
480,,LRP1,
481,,BAZ2B,
482,,SACS,
483,,ADGRL2,
484,,PCDHA10,
485,,NAALAD2,
486,,RIMS1,
487,,NEUROD4,
488,,ANKRD30B,
489,,KIF21A,
490,,KIDINS220,
491,,TMEM257,
492,,KCNA6,
493,,TRIP11,
494,,NUP205,
495,,HCN4,
496,,CSF3R,
497,,COL1A2,
498,,KCNA1,
499,,CIT,
500,,MYO5A,
501,,EPHA5,
502,,PKD1L1,
503,,NALCN,
504,,SPAG17,
505,,PIWIL1,
506,,CTBP1,
507,,ARFGEF1,
508,,SLC26A5,
509,,SSPO,
510,,FAM200B,
511,,POLQ,
512,,APOB,
513,,ALS2,
514,,EDNRB,
515,,ALPK2,
516,,ZMYND8,
517,,DENND4A,
518,,NRXN1,
519,,MAP2K4,
520,,PCDHA1,
521,,FAM217B,
522,,SORCS1,
523,,MAGEC1,
524,,FLRT2,
525,,WDR90,
526,,AKAP9,
527,,DMBT1,
528,,GNAS,
529,,CTNND1,
530,,PABPC5,
531,,PRDM5,
532,,IQCA1,
533,,MYO3B,
534,,SYNGAP1,
535,,PREX2,
536,,KIAA1549L,
537,,SULF1,
538,,POP1,
539,,COL27A1,
540,,VCAM1,
541,,ANK2,
542,,EPB41L3,
543,,CHD6,
544,,FCRL3,
545,,T,
546,,ANKRD34C,
547,,STAB1,
548,,CCDC39,
549,,TACC2,
550,,PCDH17,
551,,AHNAK2,
552,,JAG1,
553,,NRXN3,
554,,ZNF578,
555,,UBE4B,
556,,GABBR1,
557,,PIK3CG,
558,,UNC79,
559,,ZNF99,
560,,PCDH20,
561,,PLIN4,
562,,ZNF275,
563,,KALRN,
564,,CDHR2,
565,,ARHGAP33,
566,,MRC2,
567,,MUC6,
568,,YTHDC1,
569,,ADCY8,
570,,PIK3C2G,
571,,POM121,
572,,SIGLEC8,
573,,RGS9BP,
574,,NCKAP5,
575,,LRP6,
576,,ADAMTS17,
577,,CDH11,
578,,POLE,
579,,MYO10,
580,,RNF17,
581,,SBF1,
582,,IGSF1,
583,,KMT2E,
584,,PCDHGA2,
585,,HECW1,
586,,NYNRIN,
587,,FAT4,
588,,RIMBP2,
589,,MYO5C,
590,,ERICH3,
591,,TPR,
592,,PCDHB16,
593,,ADAM9,
594,,BRINP3,
595,,TNS1,
596,,PTPRS,
597,,DNAJC13,
598,,PIEZO1,
599,,FAM47C,
600,,FLT4,
601,,NF1,
602,,DENND2C,
603,,HPS3,
604,,TPTE,
605,,ZDBF2,
606,,LCT,
607,,BCL9,
608,,ADAMTSL3,
609,,FREM2,
610,,NLRP8,
611,,EML5,
612,,KCNH1,
613,,CHD8,
614,,ABCA10,
615,,CFAP61,
616,,ARAP2,
617,,FZD7,
618,,ABCA8,
619,,ARHGAP5,
620,,ADAMTS12,
621,,GOLGB1,
622,,ZNF518A,
623,,DIDO1,
624,,NRP2,
625,,LRRIQ1,
626,,DAPK1,
627,,UXS1,
628,,ADCY2,
629,,LVRN,
630,,ACACA,
631,,MYH2,
632,,LOXHD1,
633,,UTP20,
634,,BOD1L1,
635,,PRUNE2,
636,,PCDHA2,
637,,A2M,
638,,PTPRD,
639,,POM121L2,
640,,TAB3,
641,,KCNQ5,
642,,LRP4,
643,,SLC26A7,
644,,FRMPD4,
645,,OBSCN,
646,,ACAN,
647,,PTCH2,
648,,DNAH14,
649,,LAMA4,
650,,CARD11,
651,,MCC,
652,,APBA2,
653,,RALGAPB,
654,,NYAP2,
655,,PLXNB3,
656,,SLITRK2,
657,,IKBKAP,
658,,SPTBN1,
659,,BRINP2,
660,,SPHKAP,
661,,SEMA5B,
662,,ZNF385D,
663,,CFAP46,
664,,TECTA,
665,,TRPC4,
666,,DNAH5,
667,,FAT1,
668,,WDFY3,
669,,MYO18B,
670,,SPEG,
671,,DOCK11,
672,,PTK2,
673,,TNIK,
674,,PKLR,
675,,ITPR2,
