promoter,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
CAPRIN1_1,0.0401858985372195,0.0414869924542505,0.041006413306655,0.0394643713460315,0.040752680638229,0.041219272399951,0.039484139903571,0.03824244701149
NAT10_1,0.039897714239429,0.040073937217486,0.038539927397299,0.0392045593460994,0.035703044813273,0.039609551819368,0.039027724099161,0.0399917321277565
NAT10_2,0.0559111552801805,0.0580899575492925,0.058498786644758,0.053084274985453,0.053507823728718,0.057443503545533,0.054216671792211,0.0556280591623175
ABTB2_1,0.018582819491154,0.0193068531717585,0.020936317027755,0.019793149746627,0.018668021662471,0.0181457224172825,0.013976267632747,0.0142007652615605
CAT_2,0.03236051058544,0.0364421253898145,0.034440337805568,0.0323686257353645,0.030696616968599,0.0325405509614555,0.030527191371532,0.0303822938878225
CAT_1,0.0390627094611815,0.0408371354292175,0.039972304396693,0.0396142370533795,0.036225856047095,0.039286424901035,0.036159797579064,0.035568156255629
EHF_1,0.270194813418943,0.2923460121897355,0.215615407775852,0.2945720660786415,0.267878880444846,0.2735342355592115,0.258758383580581,0.2567606812752145
APIP_1,0.0298303887250675,0.0296951419274179,0.031382987634644,0.0305022281382815,0.027665827347701,0.029502315554751,0.028754004043425,0.0291372440562355
PDHX_1,0.028215860364617,0.0286952426407545,0.029362508927521,0.0281473762928555,0.028470295581469,0.0284368994583305,0.026308487252177,0.025070366471485
CD44_1,0.0429335755898935,0.044272296039029,0.044267568167225,0.049352450694035,0.040589175581797,0.0447603916341165,0.044826237707463,0.0429327360374885
SLC1A2_4,0.2048948679540835,0.1452233562720215,0.117351540763731,0.0675671810605015,0.071935063397774,0.0388564477029905,0.054763630990361,0.0619162839160915
SLC1A2_1,0.2077198745560795,0.1932765167751094,0.183896915775251,0.0957420900226775,0.071895504714275,0.061561842251331,0.104426358354331,0.10740433726972
SLC1A2_3,0.221631695791521,0.215184483365149,0.206533923725151,0.1041927353698775,0.073503422036999,0.0756220334944439,0.11084720016773,0.1134821312887565
SLC1A2_2,0.179691739418602,0.1799965361937069,0.168454390743579,0.076776129952038,0.057778616151278,0.0601759570612145,0.072114041557096,0.066066333336504
PAMR1_1,0.4548996718745075,0.384782262873634,0.334816875405202,0.2675285959449545,0.287429071214342,0.244915810173306,0.290696969887314,0.280608115089392
TRIM44_1,0.0808321205952345,0.080690373539571,0.077896808207418,0.0879201555421425,0.078063082497675,0.0771138620715455,0.072131935959036,0.0802825082940925
LDLRAD3_2,0.1511478245708635,0.1651475408409315,0.157185457072046,0.1577778468155425,0.131397014485004,0.156456295675757,0.159407595842399,0.149274149552582
LDLRAD3_1,0.109764119926099,0.1185105181930395,0.113445020970259,0.1158046706316295,0.095156341144173,0.1103791211313485,0.112021451293803,0.1063706269082185
COMMD9_1,0.0488799501015245,0.0491141690389309,0.046095241896146,0.0489097747502055,0.046031181092359,0.04825108619428,0.046054859758013,0.0462896421806379
RAG1_1,0.0623785364699735,0.060466079314242,0.063491656157021,0.070518270645829,0.061041021888512,0.0595767901503305,0.056262940872098,0.0543331691167029
TRAF6_1,0.0565928163431374,0.0547464821542625,0.052013462296198,0.062517651082756,0.04933347295416,0.0484249308991105,0.04596447025239,0.0496001938161149
RAG1_3,0.0524506516999675,0.052112580801649,0.05453022545427,0.055944372142236,0.051814441354994,0.051960730033064,0.050184440996383,0.047598118554621
C11orf74_1,0.3054255692629575,0.313351522049873,0.306520594679853,0.3110574909186705,0.298740149797108,0.300981078801935,0.30062918006045,0.303529280933277
