,discarded,sigmoid,continuous
177,,,ENSG00000272754
178,,,ENSG00000154889
179,,,ENSG00000171291
180,,,ENSG00000219891
181,,,ENSG00000213363
182,,,ENSG00000101444
183,,,ENSG00000101187
184,,,ENSG00000276867
185,,,ENSG00000197818
186,,,ENSG00000250829
187,,,ENSG00000272945
188,,,ENSG00000156170
189,,,ENSG00000124226
190,,,ENSG00000181652
191,,,ENSG00000100427
192,,,ENSG00000100991
193,,,ENSG00000129538
194,,,ENSG00000280083
195,,,ENSG00000242028
196,,,ENSG00000153071
197,,,ENSG00000171928
198,,,ENSG00000080189
199,,,ENSG00000182240
200,,,ENSG00000254503
201,,,ENSG00000103126
202,,,ENSG00000101084
203,,,ENSG00000101193
204,,,ENSG00000223685
205,,,ENSG00000247271
206,,,ENSG00000139318
207,,,ENSG00000110195
208,,,ENSG00000197406
209,,,ENSG00000101574
210,,,ENSG00000204177
211,,,ENSG00000213339
212,,,ENSG00000072609
213,,,ENSG00000102738
214,,,ENSG00000198133
215,,,ENSG00000213315
216,,,ENSG00000101294
217,,,ENSG00000261438
218,,,ENSG00000129521
219,,,ENSG00000124217
220,,,ENSG00000226284
221,,,ENSG00000197208
222,,,ENSG00000214192
223,,,ENSG00000147454
224,,,ENSG00000170471
225,,,ENSG00000234450
226,,,ENSG00000178093
227,,,ENSG00000196756
228,,,ENSG00000228801
229,,,ENSG00000134049
230,,,ENSG00000171552
231,,,ENSG00000225187
232,,,ENSG00000068784
233,,,ENSG00000231133
234,,,ENSG00000128683
235,,,ENSG00000205181
236,,,ENSG00000262136
237,,,ENSG00000152234
238,,,ENSG00000134444
239,,,ENSG00000181690
240,,,ENSG00000101138
241,,,ENSG00000151790
242,,,ENSG00000198521
243,,,ENSG00000251333
244,,,ENSG00000101639
245,,,ENSG00000100593
246,,,ENSG00000124155
247,,,ENSG00000177738
248,,,ENSG00000101391
249,,,ENSG00000114854
250,,,ENSG00000181291
251,,,ENSG00000189377
252,,,ENSG00000270116
253,,,ENSG00000230330
254,,,ENSG00000167207
255,,,ENSG00000125534
256,,,ENSG00000115919
257,,,ENSG00000142609
258,,,ENSG00000214578
259,,,ENSG00000255650
260,,,ENSG00000145416
261,,,ENSG00000141179
262,,,ENSG00000257176
263,,,ENSG00000174130
264,,,ENSG00000246705
265,,,ENSG00000133134
266,,,ENSG00000130826
267,,,ENSG00000141429
268,,,ENSG00000101442
269,,,ENSG00000198346
270,,,ENSG00000238249
271,,,ENSG00000250329
272,,,ENSG00000085465
273,,,ENSG00000134882
274,,,ENSG00000126264
275,,,ENSG00000250461
276,,,ENSG00000272473
277,,,ENSG00000251667
278,,,ENSG00000220472
279,,,ENSG00000185339
280,,,ENSG00000249574
281,,,ENSG00000240652
282,,,ENSG00000020256
283,,,ENSG00000182648
284,,,ENSG00000240634
285,,,ENSG00000101898
286,,,ENSG00000166106
287,,,ENSG00000250548
288,,,ENSG00000278576
289,,,ENSG00000125657
290,,,ENSG00000111203
291,,,ENSG00000170677
292,,,ENSG00000242814
293,,,ENSG00000175832
294,,,ENSG00000197757
295,,,ENSG00000258900
296,,,ENSG00000180758
297,,,ENSG00000105261
298,,,ENSG00000270170
299,,,ENSG00000213799
300,,,ENSG00000104756
301,,,ENSG00000163071
302,,,ENSG00000189280
303,,,ENSG00000224415
304,,,ENSG00000143412
305,,,ENSG00000168060
306,,,ENSG00000276672
307,,,ENSG00000101473
308,,,ENSG00000204386
309,,,ENSG00000125995
310,,,ENSG00000259456
311,,,ENSG00000101782
312,,,ENSG00000163584
313,,,ENSG00000164591
314,,,ENSG00000203995
315,,,ENSG00000066735
316,,,ENSG00000124780
317,,,ENSG00000198881
318,,,ENSG00000127989
319,,,ENSG00000221944
320,,,ENSG00000132199
321,,,ENSG00000184979
322,,,ENSG00000162746
323,,,ENSG00000183914
324,,,ENSG00000242372
325,,,ENSG00000169253
326,,,ENSG00000170011
327,,,ENSG00000148488
328,,,ENSG00000085741
329,,,ENSG00000132801
330,,,ENSG00000213621
331,,,ENSG00000141642
332,,,ENSG00000197971
333,,,ENSG00000197291
334,,,ENSG00000188883
335,,,ENSG00000217624
336,,,ENSG00000110080
337,,,ENSG00000138100
338,,,ENSG00000162946
339,,,ENSG00000181781
