,discarded,sigmoid,continuous
176,C14orf132_1,GNRH1_1,ZNF638_2
177,NME2_2,PLEKHF2_1,ZNF329_1
178,DOCK4_1,OPRK1_1,BHLHE41_1
179,TMIGD2_1,TIAM2_1,TLR4_1
180,SNCAIP_1,IRGQ_1,BCL2L12_2
181,RACGAP1_1,ZNF585B_1,CUL5_1
182,TDP2_1,ANKRD12_4,HSPA1L_4
183,ISLR2_2,ZG16B_1,TSPAN8_3
184,TPBG_1,EPB41L5_1,SEMA4B_2
185,TANGO2_2,CHRNA9_1,PATL1_1
186,ABI2_1,IFT81_1,PCK1_1
187,ABCA5_3,GSDMB_1,PCNX1_1
188,RCAN3_4,ERICH1_1,FILIP1L_1
189,CCT6A_1,ZNF280D_1,CCDC57_2
190,RPS20_1,ATXN7L1_2,ATP5F1_2
191,SLC12A1_1,GH1_2,C7orf34_1
192,ASTN2_2,GNB4_1,SEMG2_1
193,SS18_2,CENPQ_1,MISP_3
194,ABCB10_1,PUS1_1,RALA_3
195,TMED6_1,ARHGAP31_1,TRAPPC10_1
196,NAA30_1,SPATA22_2,CEBPZ_1
197,PHC2_1,DOK2_2,RIC8A_1
198,NFKB1_1,RPH3A_2,AIFM2_1
199,C1orf50_1,DUSP12_1,AGO2_1
200,CHN1_4,PPP1CC_1,SLC9B1_1
201,TWSG1_1,CADPS2_1,ALDH6A1_1
202,HIST1H3E_2,DMWD_2,MFRP_4
203,FXYD3_3,PRR13_2,DOC2A_1
204,SUCO_1,RYK_2,PHTF2_2
205,CFB_1,IPO11_4,QTRT1_1
206,SKIV2L_1,FANCE_1,CD164_1
207,HADH_1,CEP57L1_1,USP13_1
208,C1orf94_1,ZNF286A_2,CLDN18_1
209,PPP1CB_2,RNF207_1,ATP1A1_1
210,PLPP4_2,ACTR3C_3,CYP2D6_2
211,EDC3_1,RPL36_1,PRSS50_2
212,CD36_5,TMUB2_1,HOXB4_3
213,KCNJ2_1,CD72_2,FLVCR2_1
214,MEGF6_1,MATR3_2,RPL7A_1
215,RRP36_1,CYB5R2_1,PSMA3_1
216,PPT2_3,FLNC_2,BTF3_1
217,RASGEF1B_2,SLC11A2_2,NASP_2
218,SLC35D1_1,BLOC1S1_3,C9orf16_1
219,NECTIN1_1,BLOC1S1_1,SLC7A8_2
220,ZNF132_1,LGR5_1,ESR2_1
221,GABBR1_2,C17orf74_1,VOPP1_2
