,sigmoid,discarded,continuous
418,DEPDC5_4,,TNFAIP3_1
419,HMGXB4_1,,HECA_1
420,APOL2_1,,ADGRG6_2
421,FOXRED2_1,,ADGRG6_1
422,LGALS1_1,,AIG1_1
423,CSNK1E_1,,ADGB_1
424,PDGFB_2,,SASH1_6
425,ATXN10_2,,UST_1
426,ZBED4_1,,TAB2_1
427,UBE2J2_1,,NUP43_1
428,GNB1_1,,LRP11_1
429,FAM213B_2,,FBXO5_1
430,PHF13_1,,ACAT2_1
431,SPSB1_1,,MRPL18_2
432,PIK3CD_1,,PDE10A_1
433,CLSTN1_1,,THBS2_3
434,CTNNBIP1_1,,WDR27_1
435,UBIAD1_1,,PHF10_1
436,NBL1_2,,PRKAR1B_2
437,NBL1_1,,TTYH3_1
438,CAMK2N1_2,,TMEM106B_1
439,MUL1_1,,SOSTDC1_1
440,ALPL_1,,ITGB8_3
441,ID3_1,,RAPGEF5_1
442,NIPAL3_1,,IL6_2
443,RSRP1_1,,CPVL_1
444,LDLRAP1_1,,PLEKHA8_2
445,MTFR1L_2,,BBS9_2
446,AUNIP_1,,RALA_3
447,STMN1_1,,ZMIZ2_2
448,ZNF593_1,,COBL_1
449,ARID1A_1,,VOPP1_2
450,IFI6_1,,ABHD11_1
451,MECR_1,,GTF2I_3
452,ZBTB8OS_2,,GTF2I_1
453,AZIN2_1,,PTPN12_4
454,UTP11_1,,PHTF2_2
455,ZFP69B_3,,PHTF2_1
456,CCDC30_4,,SEMA3A_1
457,SLC2A1_1,,STEAP2_1
458,ORC1_1,,STEAP2_2
459,SCP2_2,,CYP51A1_2
460,NDC1_1,,CASD1_1
461,JUN_1,,ASNS_1
462,FGGY_1,,ARPC1A_1
463,FGGY_2,,ARPC1B_4
464,DOCK7_1,,FBXO24_1
465,GNG12_1,,SRRT_1
466,TTLL7_1,,CUX1_1
467,TTLL7_2,,SLC26A5_1
468,CYR61_1,,ATXN7L1_3
469,SNX7_1,,COG5_2
470,SNX7_2,,COG5_1
471,AGL_1,,CBLL1_2
472,SLC25A24_2,,PNPLA8_1
473,SORT1_1,,TMEM168_1
474,KCNC4_1,,FOXP2_3
475,FAM212B_2,,TFEC_2
476,IGSF3_1,,CPED1_1
477,WDR3_1,,IQUB_2
478,HIST2H2BF_2,,TMEM209_1
479,GOLPH3L_1,,C7orf73_1
480,S100A1_3,,BRAF_1
481,S100A1_2,,EPHB6_1
482,SLC27A3_1,,PDIA4_1
483,JTB_2,,PDIA4_2
484,CHRNB2_1,,ZNF398_2
485,KRTCAP2_1,,TMEM176A_1
486,TRIM46_2,,TMEM176A_2
487,FAM189B_2,,RHEB_3
488,IQGAP3_2,,KMT2C_1
489,SH2D2A_1,,SHH_2
490,KCNJ9_1,,ZDHHC2_1
491,IGSF8_2,,BMP1_2
492,IGSF8_1,,STC1_1
493,B4GALT3_1,,EPHX2_1
494,UHMK1_1,,SCARA5_1
495,CREG1_1,,GSR_1
496,SELL_1,,GSR_2
497,VAMP4_3,,FUT10_1
498,KIAA0040_3,,RNF122_1
499,RASAL2_1,,ZNF703_1
500,NPL_2,,ERLIN2_1
501,NPL_1,,BAG4_2
502,C1orf53_1,,ADAM9_1
503,DDX59_1,,SLC20A2_4
504,TMEM9_1,,TMEM68_1
505,PPP1R12B_1,,YTHDF3_1
506,ADIPOR1_1,,YTHDF3_2
507,REN_1,,SGK3_3
508,NUCKS1_2,,SLCO5A1_1
509,PPP2R5A_1,,GDAP1_1
510,TMEM206_1,,TPD52_9
511,ESRRG_3,,IMPA1_1
512,EPRS_1,,RAD54B_1
513,MARK1_1,,C8orf37_1
514,C1orf115_1,,MTERF3_1
515,CAPN2_3,,UQCRB_2
516,CAPN2_1,,MTERF3_2
517,TP53BP2_1,,ERICH5_1
518,CCSAP_1,,NIPAL2_2
519,ABCB10_2,,VPS13B_2
520,ABCB10_1,,RNF19A_1
521,TAF5L_1,,YWHAZ_3
522,SIPA1L2_3,,NCALD_1
523,NTPCR_1,,NUDCD1_1
524,IRF2BP2_1,,NOV_1
525,SDCCAG8_2,,DEPTOR_3
526,ADSS_1,,TBC1D31_1
527,IAH1_1,,FBXO32_3
528,FAM228A_2,,ZNF572_1
529,FAM228B_3,,ARC_1
530,PFN4_2,,CYP11B2_1
531,PFN4_1,,NAPRT_2
532,NCOA1_2,,PUF60_2
533,GAREM2_1,,PUF60_1
534,MAPRE3_1,,PLEC_1
535,MPV17_2,,HSF1_1
536,GPN1_2,,SCRT1_1
537,SLC4A1AP_1,,ZNF34_1
538,BRE_2,,ZNF250_1
539,YPEL5_3,,KANK1_2
540,GALM_2,,GLIS3_2
541,GALM_1,,AK3_1
542,DYNC2LI1_1,,ACER2_1
543,SIX2_1,,KIAA1161_1
544,CRIPT_1,,TESK1_1
545,CALM2_1,,CLTA_1
546,MSH6_1,,GNE_1
547,FBXO11_3,,GRHPR_1
548,PUS10_2,,ANKRD18A_3
549,SPRED2_1,,TMEM252_2
550,ETAA1_1,,UBQLN1_2
551,PPP3R1_1,,C9orf64_2
552,MXD1_1,,C9orf64_1
553,RAB11FIP5_1,,NTRK2_2
554,DUSP11_1,,NTRK2_1
555,BOLA3_1,,NTRK2_4
556,MRPL19_1,,NFIL3_1
557,KCMF1_3,,ZNF484_1
558,TCF7L1_1,,FGD3_1
559,MRPS5_1,,CARD19_2
560,KCNIP3_1,,PHF2_2
561,MITD1_1,,PTCH1_2
562,RPL31_1,,TBC1D2_3
563,SLC35F5_1,,MRPL50_1
564,C2orf76_2,,SMC2L1_1
565,TMEM177_1,,FSD1L_1
566,MAP3K2_1,,LPAR1_2
567,ZEB2_1,,POLE3_2
568,RIF1_1,,TLR4_1
569,GALNT5_1,,NEK6_3
570,BAZ2B_2,,CIZ1_1
571,COBLL1_3,,GOLGA2_1
572,CERS6_1,,PKN3_1
573,PHOSPHO2_1,,DOLPP1_1
574,MAP3K20_1,,PRRX2_1
575,CHN1_4,,FUBP3_1
576,CHN1_2,,ABL1_4
577,OSBPL6_1,,SDCCAG3_1
578,OSBPL6_2,,SDCCAG3_3
579,PLEKHA3_2,,AGPAT2_1
580,PLEKHA3_1,,ABCA2_1
581,DNAJC10_1,,MAN1B1_1
582,ITGAV_2,,NDOR1_1
583,ITGAV_1,,PITRM1_1
584,HIBCH_1,,AKR1C1_1
585,TMEFF2_2,,AKR1C2_1
586,HECW2_3,,PROSER2_1
587,SF3B1_1,,UPF2_2
588,BZW1_2,,FRMD4A_2
589,BZW1_1,,PLXDC2_2
590,CASP8_2,,MAP3K8_2
591,CARF_1,,EPC1_2
592,CARF_2,,NRP1_4
593,KLF7_2,,ZNF25_1
594,IGFBP2_1,,SGMS1_2
595,USP37_1,,PRKG1_4
596,DNPEP_1,,ZWINT_1
597,DNPEP_2,,TFAM_1
598,SGPP2_1,,KIF1BP_1
599,DNER_1,,VPS26A_1
600,TRIP12_1,,H2AFY2_1
601,FBXO36_1,,AIFM2_1
602,TRIP12_3,,SAR1A_1
603,COPS7B_1,,PPA1_1
604,D2HGDH_1,,MCU_1
605,BRK1_1,,P4HA1_1
606,ATG7_2,,KAT6B_3
607,HRH1_1,,ZNF503_1
608,VGLL4_1,,RPS24_1
609,RAF1_1,,BMPR1A_3
610,HDAC11_1,,PAPSS2_1
611,WNT7A_1,,PTEN_1
612,SLC6A6_1,,HECTD2_2
613,SATB1_1,,CYP26A1_3
614,SATB1_2,,CCNJ_2
615,NKIRAS1_1,,CCNJ_1
616,RBMS3_3,,MORN4_1
617,RBMS3_6,,CPN1_2
618,RBMS3_7,,SCD_2
619,CSRNP1_1,,NDUFB8_1
620,SLC25A38_1,,MRPL43_1
621,ZNF620_1,,LZTS2_3
622,ZNF197_2,,PITX3_1
623,EXOSC7_1,,CNNM2_1
624,PLXNB1_1,,OBFC1_2
625,TREX1_1,,SFR1_2
626,TREX1_3,,GSTO2_1
627,CELSR3_1,,ADD3_1
628,P4HTM_1,,DUSP5_1
629,GPX1_1,,DCLRE1A_1
630,CYB561D2_3,,TACC2_2
631,ABHD14B_1,,CALY_1
632,ABHD14A_1,,RIC8A_1
633,HESX1_1,,DUSP8_1
634,APPL1_2,,SLC22A18AS_2
635,PXK_2,,SWAP70_1
636,GBE1_1,,SLC17A6_1
637,PROS1_1,,RCN1_5
638,PROS1_2,,CAPRIN1_1
639,ARL6_2,,TRAF6_1
640,FILIP1L_3,,RAG1_3
641,NECTIN3_1,,C11orf74_1
642,GTPBP8_1,,ACCS_3
643,CD200R1_1,,MAPK8IP1_1
644,KALRN_1,,MDK_4
645,KLF15_1,,PTPRJ_1
646,ZXDC_1,,PTPRJ_2
647,CHST13_1,,ZDHHC5_3
648,PLXNA1_1,,PATL1_1
649,NPHP3_1,,CCDC86_1
650,RYK_2,,TKFC_2
651,SLC35G2_1,,CYB561A3_2
652,SLC35G2_2,,LBHD1_1
653,NCK1_2,,HNRNPUL2_2
654,CHST2_2,,TTC9C_2
655,WWTR1_1,,TMEM223_1
656,RNF13_1,,FKBP2_3
657,IGSF10_4,,SLC22A11_1
658,IGSF10_5,,ARL2_1
659,DHX36_1,,SNX15_1
660,SSR3_1,,POLA2_1
661,GPR160_1,,KAT5_3
662,FNDC3B_1,,RIN1_1
663,ACTL6A_1,,RBM4B_1
664,TTC14_1,,POLD4_1
665,FXR1_1,,IGHMBP2_1
666,LAMP3_1,,MRGPRF_1
667,MCF2L2_1,,CCND1_1
668,EEF1AKMT4_1,,LAMTOR1_2
669,TNK2_3,,KCNE3_1
670,PCYT1A_1,,RNF169_1
671,TMEM175_1,,LRRC32_2
672,MAEA_1,,MYO7A_2
673,NSD2_3,,USP35_1
674,NELFA_1,,CCDC90B_1
675,RNF4_1,,CCDC90B_2
676,TMEM128_1,,TMEM126B_1
677,WDR1_2,,MMP10_1
678,CPEB2_1,,CUL5_1
679,SLIT2_1,,ATM_2
680,OCIAD1_1,,C11orf1_3
681,CEP135_1,,DLAT_1
682,PPAT_1,,IL18_1
683,CENPC_1,,PTS_1
684,RCHY1_1,,RNF214_1
685,CCNI_1,,TRAPPC4_1
686,HELQ_1,,MFRP_4
687,FAM175A_1,,UBASH3B_1
688,HELQ_2,,SPA17_1
689,C4orf36_1,,ESAM_1
690,ADH4_1,,ROBO3_2
691,NFKB1_1,,ROBO3_1
692,NFKB1_3,,CDON_2
693,UBE2D3_1,,CDON_1
694,SGMS2_1,,DCPS_1
