,species,genus
189723,Prevotella_micans,Prevotella
156974,Dysgonomonas_gadei,Dysgonomonas
156978,Corynebacterium_imitans,Corynebacterium
140626,Lachnobacterium_bovis,Lachnobacterium
386414,Prevotella_timonensis,Prevotella
42422,Halobacteroides_halobius,Halobacteroides
648794,Aeromonas_rivuli,Aeromonas
206506,Kerstersia_gyiorum,Kerstersia
1042156,Clostridium_sp._SY8519,Clostridium
911092,Caldanaerobacter_subterraneus,Caldanaerobacter
304895,Catenulispora_acidiphila,Catenulispora
1288121,Alistipes_senegalensis,Alistipes
157688,Leptotrichia_hofstadii,Leptotrichia
387090,Bacteroides_coprophilus,Bacteroides
75985,Mannheimia_haemolytica,Mannheimia
59610,Desulfotomaculum_reducens,Desulfotomaculum
190721,Ralstonia_insidiosa,Ralstonia
338188,Bacteroides_finegoldii,Bacteroides
370977,Brevundimonas_aveniformis,Brevundimonas
43305,Butyrivibrio_proteoclasticus,Butyrivibrio
239935,Akkermansia_muciniphila,Akkermansia
665950,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae
59733,Chryseobacterium_scophthalmum,Chryseobacterium
76123,Prevotella_enoeca,Prevotella
76122,Alloprevotella_tannerae,Alloprevotella
665956,Subdoligranulum_sp._4_3_54A2FAA,Subdoligranulum
59803,Sphingomonas_echinoides,Sphingomonas
108980,Acinetobacter_ursingii,Acinetobacter
92647,Paraburkholderia_tropica,Paraburkholderia
649724,Clostridium_sp._ATCC_BAA-442,Clostridium
649756,Anaerostipes_hadrus,Anaerostipes
551459,Chryseobacterium_piscicola,Chryseobacterium
305719,Prevotella_baroniae,Prevotella
387661,Parabacteroides_johnsonii,Parabacteroides
469610,Burkholderiales_bacterium_1_1_47,Burkholderiales
649841,Sulfuricella_denitrificans,Sulfuricella
43675,Rothia_mucilaginosa,Rothia
223967,Methylobacterium_populi,Methylobacterium
60133,Prevotella_pallens,Prevotella
43767,Rhodococcus_equi,Rhodococcus
43768,Corynebacterium_matruchotii,Corynebacterium
43770,Corynebacterium_striatum,Corynebacterium
273168,Novosphingobium_naphthalenivorans,Novosphingobium
1223514,Corynebacterium_humireducens,Corynebacterium
633701,Prevotella_saccharolytica,Prevotella
43948,Tolumonas_auensis,Tolumonas
43995,Johnsonella_ignava,Johnsonella
43997,Catonella_morbi,Catonella
44009,Enterococcus_dispar,Enterococcus
93218,Pandoraea_apista,Pandoraea
76853,Solibacillus_silvestris,Solibacillus
76860,Streptococcus_constellatus,Streptococcus
191579,Fluviicola_taffensis,Fluviicola
732242,Bacteroides_paurosaccharolyticus,Bacteroides
76891,Asticcacaulis_biprosthecium,Asticcacaulis
158836,Enterobacter_hormaechei,Enterobacter
191610,Corynebacterium_atypicum,Corynebacterium
273528,Exiguobacterium_marinum,Exiguobacterium
863372,Herbaspirillum_huttiense,Herbaspirillum
158898,Gordonia_westfalica,Gordonia
421058,Chryseobacterium_oranimense,Chryseobacterium
44251,Paenibacillus_durus,Paenibacillus
44255,Bradyrhizobium_oligotrophicum,Bradyrhizobium
290052,Acetivibrio_ethanolgignens,Acetivibrio
748811,Sulfuritalea_hydrogenivorans,Sulfuritalea
290053,Bacteroides_helcogenes,Bacteroides
77095,Prevotella_bryantii,Prevotella
208226,Alkaliphilus_metalliredigens,Alkaliphilus
28025,Bifidobacterium_animalis,Bifidobacterium
28026,Bifidobacterium_pseudocatenulatum,Bifidobacterium
28037,Streptococcus_mitis,Streptococcus
863643,Thermincola_potens,Thermincola
28090,Acinetobacter_lwoffii,Acinetobacter
28111,Bacteroides_eggerthii,Bacteroides
28112,Tannerella_forsythia,Tannerella
28116,Bacteroides_ovatus,Bacteroides
28117,Alistipes_putredinis,Alistipes
28118,Odoribacter_splanchnicus,Odoribacter
28123,Porphyromonas_asaccharolytica,Porphyromonas
28124,Porphyromonas_endodontalis,Porphyromonas
28125,Prevotella_bivia,Prevotella
28126,Prevotella_buccae,Prevotella
28129,Prevotella_denticola,Prevotella
28130,Prevotella_disiens,Prevotella
28131,Prevotella_intermedia,Prevotella
28132,Prevotella_melaninogenica,Prevotella
28133,Prevotella_nigrescens,Prevotella
28134,Prevotella_oralis,Prevotella
28135,Prevotella_oris,Prevotella
28136,Prevotella_oulorum,Prevotella
28137,Prevotella_veroralis,Prevotella
28139,Rikenella_microfusus,Rikenella
454154,Paraprevotella_clara,Paraprevotella
454155,Paraprevotella_xylaniphila,Paraprevotella
470565,Prevotella_histicola,Prevotella
28212,Sphingomonas_adhaesiva,Sphingomonas
28213,Sphingomonas_parapaucimobilis,Sphingomonas
290399,Arthrobacter_sp._FB24,Arthrobacter
208479,[Clostridium]_bolteae,[Clostridium]
437897,Megamonas_funiformis,Megamonas
1355477,Bradyrhizobium_diazoefficiens,Bradyrhizobium
487174,Barnesiella_intestinihominis,Barnesiella
487173,Dialister_succinatiphilus,Dialister
28446,[Clostridium]_propionicum,[Clostridium]
28450,Burkholderia_pseudomallei,Burkholderia
77635,Bifidobacterium_subtile,Bifidobacterium
487316,Acinetobacter_soli,Acinetobacter
339862,Desulfosporosinus_youngiae,Desulfosporosinus
257984,Glutamicibacter_mysorens,Glutamicibacter
225324,Enhydrobacter_aerosaccus,Enhydrobacter
471189,Gordonibacter_pamelaeae,Gordonibacter
61624,Paenibacillus_mucilaginosus,Paenibacillus
45254,Dysgonomonas_capnocytophagoides,Dysgonomonas
28901,Salmonella_enterica,Salmonella
487698,Stenotrophomonas_pavanii,Stenotrophomonas
291112,Photorhabdus_asymbiotica,Photorhabdus
1126833,Paenibacillus_beijingensis,Paenibacillus
111015,Actinomyces_radicidentis,Actinomyces
78259,Scardovia_inopinata,Scardovia
78258,Parascardovia_denticolens,Parascardovia
324057,Paenibacillus_sp._JDR-2,Paenibacillus
160386,Corynebacterium_casei,Corynebacterium
29341,Clostridium_argentinense,Clostridium
504487,Jejuia_pallidilutea,Jejuia
29346,[Clostridium]_paradoxum,[Clostridium]
29347,[Clostridium]_scindens,[Clostridium]
29348,[Clostridium]_spiroforme,[Clostridium]
29354,[Clostridium]_celerecrescens,[Clostridium]
29360,Cellulosilyticum_lentocellum,Cellulosilyticum
29361,Tyzzerella_nexilis,Tyzzerella
29367,Clostridium_puniceum,Clostridium
225991,Comamonas_aquatica,Comamonas
225992,Comamonas_kerstersii,Comamonas
29430,Acinetobacter_haemolyticus,Acinetobacter
78587,Asticcacaulis_excentricus,Asticcacaulis
29448,Bradyrhizobium_elkanii,Bradyrhizobium
45851,Butyrivibrio_crossotus,Butyrivibrio
29488,Photorhabdus_luminescens,Photorhabdus
291644,Bacteroides_salyersiae,Bacteroides
570161,Marinifilum_fragile,Marinifilum
291645,Bacteroides_nordii,Bacteroides
29533,Flavobacterium_pectinovorum,Flavobacterium
29536,Flavobacterium_succinicans,Flavobacterium
62322,Shewanella_baltica,Shewanella
29581,Janthinobacterium_lividum,Janthinobacterium
357276,Bacteroides_dorei,Bacteroides
488447,Burkholderia_contaminans,Burkholderia
242750,Prevotella_bergensis,Prevotella
1586267,Apibacter_mensalis,Apibacter
46206,Pseudobutyrivibrio_ruminis,Pseudobutyrivibrio
291990,Thermosediminibacter_oceani,Thermosediminibacter
46228,Ruminococcus_lactaris,Ruminococcus
341220,Lactonifactor_longoviformis,Lactonifactor
341225,[Clostridium]_saccharogumia,[Clostridium]
13689,Sphingomonas_paucimobilis,Sphingomonas
13690,Sphingobium_yanoikuyae,Sphingobium
652716,Prevotella_sp._oral_taxon_299,Prevotella
46503,Parabacteroides_merdae,Parabacteroides
46506,Bacteroides_stercoris,Bacteroides
259537,Dechloromonas_aromatica,Dechloromonas
882211,Pseudomonas_deceptionensis,Pseudomonas
161360,Planococcus_antarcticus,Planococcus
341694,Peptostreptococcus_stomatis,Peptostreptococcus
177972,Shuttleworthia_satelles,Shuttleworthia
358220,Acidovorax_sp._KKS102,Acidovorax
1144673,Acinetobacter_sp._CIP_64.7,Acinetobacter
587753,Pseudomonas_chlororaphis,Pseudomonas
79885,Bacillus_pseudofirmus,Bacillus
161879,Corynebacterium_kroppenstedtii,Corynebacterium
161896,Corynebacterium_camporealensis,Corynebacterium
63612,Sodalis_glossinidius,Sodalis
47246,[Clostridium]_viride,[Clostridium]
243924,Pseudomonas_lutea,Pseudomonas
63745,Sideroxydans_lithotrophicus,Sideroxydans
194867,Sphingomonas_sp._ATCC_31555,Sphingomonas
1603886,Bifidobacterium_lemurum,Bifidobacterium
555313,Phocaeicola_abscessus,Phocaeicola
358743,[Clostridium]_citroniae,[Clostridium]
407975,Prevotella_pleuritidis,Prevotella
47671,Lautropia_mirabilis,Lautropia
47678,Bacteroides_caccae,Bacteroides
47679,Sporomusa_sphaeroides,Sporomusa
457412,Ruminococcus_sp._5_1_39BFAA,Ruminococcus
457421,Clostridiales_bacterium_1_7_47FAA,Clostridiales
47877,Pseudomonas_amygdali,Pseudomonas
