,discarded,sigmoid,continuous
280,,,ENSG00000134440
281,,,ENSG00000130826
282,,,ENSG00000251667
283,,,ENSG00000275734
284,,,ENSG00000054793
285,,,ENSG00000223534
286,,,ENSG00000100593
287,,,ENSG00000149679
288,,,ENSG00000258365
289,,,ENSG00000114854
290,,,ENSG00000180758
291,,,ENSG00000270170
292,,,ENSG00000164626
293,,,ENSG00000198346
294,,,ENSG00000161920
295,,,ENSG00000206573
296,,,ENSG00000072609
297,,,ENSG00000160951
298,,,ENSG00000251333
299,,,ENSG00000272523
300,,,ENSG00000225187
301,,,ENSG00000226624
302,,,ENSG00000134882
303,,,ENSG00000172456
304,,,ENSG00000181652
305,,,ENSG00000171552
306,,,ENSG00000278356
307,,,ENSG00000181291
308,,,ENSG00000233503
309,,,ENSG00000214578
310,,,ENSG00000104756
311,,,ENSG00000177721
312,,,ENSG00000249306
313,,,ENSG00000101084
314,,,ENSG00000101444
315,,,ENSG00000033170
316,,,ENSG00000198780
317,,,ENSG00000125991
318,,,ENSG00000181781
319,,,ENSG00000166595
320,,,ENSG00000100427
321,,,ENSG00000112773
322,,,ENSG00000153071
323,,,ENSG00000162946
324,,,ENSG00000101138
325,,,ENSG00000101442
326,,,ENSG00000177738
327,,,ENSG00000130703
328,,,ENSG00000125967
329,,,ENSG00000204177
330,,,ENSG00000176343
331,,,ENSG00000168612
332,,,ENSG00000185339
333,,,ENSG00000141642
334,,,ENSG00000197757
335,,,ENSG00000204420
336,,,ENSG00000142609
337,,,ENSG00000122042
338,,,ENSG00000219891
339,,,ENSG00000102738
340,,,ENSG00000230330
341,,,ENSG00000278338
342,,,ENSG00000100991
343,,,ENSG00000100336
344,,,ENSG00000012211
345,,,ENSG00000224415
346,,,ENSG00000198133
347,,,ENSG00000154889
348,,,ENSG00000197183
349,,,ENSG00000081277
350,,,ENSG00000145416
351,,,ENSG00000088367
352,,,ENSG00000247271
353,,,ENSG00000245970
354,,,ENSG00000074855
355,,,ENSG00000213799
356,,,ENSG00000240634
357,,,ENSG00000105261
358,,,ENSG00000156170
359,,,ENSG00000234450
360,,,ENSG00000171044
361,,,ENSG00000118705
362,,,ENSG00000174332
363,,,ENSG00000188825
364,,,ENSG00000125995
365,,,ENSG00000217258
366,,,ENSG00000185624
367,,,ENSG00000270116
368,,,ENSG00000134049
369,,,ENSG00000174130
370,,,ENSG00000143412
371,,,ENSG00000101898
372,,,ENSG00000204386
373,,,ENSG00000258900
374,,,ENSG00000240652
375,,,ENSG00000262136
376,,,ENSG00000147454
377,,,ENSG00000166106
378,,,ENSG00000111110
379,,,ENSG00000182648
380,,,ENSG00000189377
381,,,ENSG00000203326
382,,,ENSG00000189077
383,,,ENSG00000148488
384,,,ENSG00000103126
385,,,ENSG00000020256
386,,,ENSG00000242814
387,,,ENSG00000125657
388,,,ENSG00000154310
389,,,ENSG00000167065
390,,,ENSG00000070031
391,,,ENSG00000183914
392,,,ENSG00000253676
393,,,ENSG00000170011
394,,,ENSG00000238249
395,,,ENSG00000123178
396,,,ENSG00000124217
397,,,ENSG00000133134
398,,,ENSG00000167207
399,,,ENSG00000139318
400,,,ENSG00000132801
401,,,ENSG00000265943
402,,,ENSG00000276672
403,,,ENSG00000178093
404,,,ENSG00000101773
405,,,ENSG00000124780
406,,,ENSG00000138100
407,,,ENSG00000272473
408,,,ENSG00000128683
409,,,ENSG00000276867
410,,,ENSG00000151575
411,,,ENSG00000182240
412,,,ENSG00000164627
413,,,ENSG00000280083
414,,,ENSG00000228328
415,,,ENSG00000078699
416,,,ENSG00000213339
417,,,ENSG00000101109
418,,,ENSG00000125534
419,,,ENSG00000101333
420,,,ENSG00000044574
421,,,ENSG00000177854
422,,,ENSG00000260290
423,,,ENSG00000111203
424,,,ENSG00000171858
425,,,ENSG00000100600
426,,,ENSG00000254503
427,,,ENSG00000213315
428,,,ENSG00000080189
429,,,ENSG00000197291
430,,,ENSG00000213621
431,,,ENSG00000124155
432,,,ENSG00000151790
433,,,ENSG00000175832
434,,,ENSG00000240499
